collection,count
Attendance,3576030
HomeScreen,105
SchoolAppPackageMapping,0
SchoolBranchGroup,102
ArchiveSylllabusPlanner,4806
ReviewerBatch,621
CommTemplatesBackup,2248
OutcomeActivityMapping,903
ArchiveSchoolBranchCalendar,1243
testDemo,43
ClassSubjectMapping,2001
Assessment,666
ClassName,1
MytriFAQ,6
Monthly_Attendance_Report,64
ArchiveNotificationClassAssignments,1322
LessonPlanExampleMapping,0
InputFormStudentStatus,1440
StudentUnitTestResult,617086
Outcome,1224
EvaluationClassMapping,47
SyllabusRole,236
SchoolCalendarNotificationSent,0
StudentAchievements,13
OnlineAssesmentQuestionsBackup1,977
Parent_Engagement_Score,0
DiagnosticQuestionSet,12
SchoolBranchClasses_MATERIALIZED,2286
PhicommercePaymentAdvice,2063
MasterChapter,377
Goals,0
UserTaskMapping,3
EventRegistration_backup,297
AttendanceReportStudentLevel,0
SubjectCode,0
ConversationSubjectliking,0
PeerDuration,0
StudentObservation,0
EvaluationResult,1486
studentCustomMessageNotice,4
QuestionTraceability,1313
useractivitylogs,0
Branchwise_Numbers_facts,7759
TestResult,0
AttendanceReportClassLevel,0
InputFormFields,105
DailyFeedback,1127
PaymentLink,0
AssessmentRubricMaster,640
ConversationMessages,841915
ALLusers,2863
Roles,13
CommunicationTemplates,2373
Test,2
Exception_Lowest_Classwise_Daywise,0
Users,3056
SchoolMenuList,0
SchoolObservationMarathi,1
Branchwise_Genderwise_Daywise_Attendance,0
Parent_Promptness,196825
StudentActivitySummary_2,237
Homework,2
HPCTermConfiguration,3
RoleMenuMapping,50
EventRegistration,502
ApplicationVersion,2
my_oa_backup,424
LearningCompetency,0
MytriSubject,42
Token,44
Attendance_Analysis,2638
SchoolObservation,3
HolidayCalender,74
NotificationClassAssignmentsTemp,160
MobileAppVersion,36
MasterClassCode,10
HpcClassSubjectMapping,47
Monthly_Attendance_Class_Report,0
SchoolStatements,182
SyllabusSubjectMapping,2582
SubTopicObjectiveOutcomeMapping,0
Students_Subject_Level_Score_Copy,526
ArchiveClassSubject,52
Roles_copy,11
MasterCompetency,414
