BranchCode,BranchName,Instrument,SetCode,Role,Submitted,Total,Status
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Intent Teacher EN,1234,Teacher,0,0,MISSING
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Intent Teacher MR,103,Teacher,36,37,OK
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Intent Leader EN,7890,Leader,0,1,MISSING
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Intent Leader MR,104,Leader,3,5,OK
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Baseline Teacher EN,base001,Teacher,14,14,OK
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Baseline Teacher MR,base003,Teacher,26,26,OK
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Baseline Leader EN,base002,Leader,1,2,OK
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Baseline Leader MR,base004,Leader,3,3,OK
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,SRI Audit,SRI001,Leader,1,3,OK
M002,"BALAK MANDIR,SATARA",Intent Teacher EN,1234,Teacher,0,0,MISSING
M002,"BALAK MANDIR,SATARA",Intent Teacher MR,103,Teacher,8,8,OK
M002,"BALAK MANDIR,SATARA",Intent Leader EN,7890,Leader,0,0,MISSING
M002,"BALAK MANDIR,SATARA",Intent Leader MR,104,Leader,0,0,MISSING
M002,"BALAK MANDIR,SATARA",Baseline Teacher EN,base001,Teacher,1,1,OK
M002,"BALAK MANDIR,SATARA",Baseline Teacher MR,base003,Teacher,6,6,OK
M002,"BALAK MANDIR,SATARA",Baseline Leader EN,base002,Leader,0,0,MISSING
M002,"BALAK MANDIR,SATARA",Baseline Leader MR,base004,Leader,0,0,MISSING
M002,"BALAK MANDIR,SATARA",SRI Audit,SRI001,Leader,0,0,MISSING
M003,D.E.S. PRIMARY SCHOOL,Intent Teacher EN,1234,Teacher,15,16,OK
M003,D.E.S. PRIMARY SCHOOL,Intent Teacher MR,103,Teacher,16,17,OK
M003,D.E.S. PRIMARY SCHOOL,Intent Leader EN,7890,Leader,1,2,OK
M003,D.E.S. PRIMARY SCHOOL,Intent Leader MR,104,Leader,3,3,OK
M003,D.E.S. PRIMARY SCHOOL,Baseline Teacher EN,base001,Teacher,24,24,OK
M003,D.E.S. PRIMARY SCHOOL,Baseline Teacher MR,base003,Teacher,8,8,OK
M003,D.E.S. PRIMARY SCHOOL,Baseline Leader EN,base002,Leader,3,3,OK
M003,D.E.S. PRIMARY SCHOOL,Baseline Leader MR,base004,Leader,1,1,OK
M003,D.E.S. PRIMARY SCHOOL,SRI Audit,SRI001,Leader,2,2,OK
M004,D.E.S. SECONDARY SCHOOL,Intent Teacher EN,1234,Teacher,29,29,OK
M004,D.E.S. SECONDARY SCHOOL,Intent Teacher MR,103,Teacher,18,19,OK
M004,D.E.S. SECONDARY SCHOOL,Intent Leader EN,7890,Leader,1,5,OK
M004,D.E.S. SECONDARY SCHOOL,Intent Leader MR,104,Leader,5,6,OK
M004,D.E.S. SECONDARY SCHOOL,Baseline Teacher EN,base001,Teacher,37,37,OK
M004,D.E.S. SECONDARY SCHOOL,Baseline Teacher MR,base003,Teacher,13,13,OK
