BranchCode,BranchName,Intent_Teacher,Intent_Leader,Baseline_Teacher,Baseline_Leader,SRI_Audit,Gaps,SRI_Total
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,OK,OK,OK,OK,OK,0,66.12
M002,"BALAK MANDIR,SATARA",OK,MISSING,OK,MISSING,MISSING,3,25.72
M003,D.E.S. PRIMARY SCHOOL,OK,OK,OK,OK,OK,0,66.65
M004,D.E.S. SECONDARY SCHOOL,OK,OK,OK,OK,MISSING,1,67.76
M005,"DATAR-SHENDURE ENGLISH MEDIUM PRE-PRIMARY SCHOOL, SATARA",OK,MISSING,OK,MISSING,MISSING,3,40.51
M006,"DATAR-SHENDURE ENGLISH MEDIUM PRIMARY SCHOOL, SATARA",OK,MISSING,OK,MISSING,MISSING,3,38.24
M007,"DATAR-SHENDURE ENGLISH MEDIUM SECONDARY SCHOOL, SATARA",OK,OK,OK,OK,MISSING,1,58.99
M009,"DRAVID HIGH SCHOOL,WAI",OK,OK,OK,OK,OK,0,66.48
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHIRUR",MISSING,MISSING,OK,MISSING,MISSING,4,7.94
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",OK,OK,OK,MISSING,MISSING,2,42.58
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",OK,MISSING,MISSING,MISSING,OK,3,15.62
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMARY UNIT),OK,MISSING,OK,OK,MISSING,2,46.66
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UNIT),OK,OK,OK,MISSING,MISSING,2,53.41
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY UNIT),OK,OK,OK,OK,OK,0,68.27
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAMIK VIDYALAYA,OK,OK,OK,OK,MISSING,1,67.94
M017,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALAYA (PRATHAMIK VIBHAG),OK,OK,OK,OK,OK,0,66.69
M018,MADHAV SADASHIV GOLWALKAR GURUJI VIDYALAYA (PURVA-PRATHAMIK VIBHAG),OK,OK,OK,OK,OK,0,67.13
M019,MATRUMANDIR SATARA,OK,MISSING,OK,MISSING,MISSING,3,21.58
M020,MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PRE-PRIMARY) SCHOOL,OK,OK,OK,OK,MISSING,1,68.46
M021,"NAVIN MARATHI SHALA, SATARA",OK,OK,OK,OK,OK,0,69.84
M022,"NAVIN MARATHI SHALA,PUNE",OK,OK,OK,OK,OK,0,61.99
M023,NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY UNIT),OK,OK,OK,OK,OK,0,67.55
M024,NEW ENGLISH MEDIUM SCHOOL (PRIMARY UNIT),OK,OK,OK,OK,OK,0,68.34
M025,NEW ENGLISH MEDIUM SCHOOL SECONDARY SCHOOL,OK,OK,OK,OK,OK,0,68.08
M026,"NEW ENGLISH SCHOOL, RAMANBAG",OK,OK,OK,OK,OK,0,64.23
M027,"NEW ENGLISH SCHOOL, SATARA",OK,OK,OK,OK,OK,0,65.91
M028,"NEW ENGLISH SCHOOL,TILAK ROAD",OK,OK,OK,OK,MISSING,1,66.25
M029,NYA.RANADE BALAK MANDIR,OK,OK,OK,OK,MISSING,1,65.72
M030,"RAMESH GARWARE SCHOOL (PRE-PRIMARY UNIT), WAI",OK,MISSING,OK,MISSING,MISSING,3,25.1
M031,"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WAI",OK,OK,OK,OK,MISSING,1,67.3
M032,"RAMESH GARWARE SCHOOL (SECONDARY UNIT), WAI",OK,MISSING,OK,MISSING,MISSING,3,21.65
M033,SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK MANDIR [ENGLISH MEDIUM  PRE-PRIMARY SECTION],OK,OK,OK,OK,MISSING,1,65.47
M034,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHALA  ( MARATHI MADHYAM-MADHYAMIK VIBHAG),OK,OK,OK,OK,MISSING,1,65.62
M035,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHALA [ENGLISH MEDIUM PRIMARY SECTION],OK,OK,OK,OK,MISSING,1,64.38
M036,SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHALA [ENGLISH MEDIUM SECONDARY SECTION],OK,OK,OK,OK,OK,0,67.54
M037,SHRI. KANTILAL PURUSHOTTAMDAS SHAH BALAK MANDIR (MARATHI MADHYAM-PURVA-PRATHAMIK VIBHAG),OK,OK,OK,MISSING,MISSING,2,33.47
M038,SHRI. KANTILAL PURUSHOTTAMDAS SHAH PRASHALA (MARATHI MADHYAM-PRATHAMIK VIBHAG),OK,OK,OK,OK,MISSING,1,46.6
