Branch,School,Respondents,Teachers,Leaders,AvgScore(%),Multiplication (%),Money (%),Factors & Multiples (%),Division (%),Measurement (%),Addition & Subtraction (%),Time & Calendar (%),Geometry (%)
"DATAR-SHENDURE ENGLISH MEDIUM PRIMARY SCHOOL, SATARA",Deccan Education Society,1,1,0,90.9,,100.0,100.0,100.0,,100.0,66.7,100.0
NEW ENGLISH MEDIUM SCHOOL (PRIMARY UNIT),Deccan Education Society,3,2,1,81.8,100.0,100.0,50.0,100.0,66.7,100.0,85.7,71.4
MURLIDHAR LOHIYA MATRU MANDIR (D.E.S. PRE-PRIMARY) SCHOOL,Deccan Education Society,4,2,2,81.8,100.0,83.3,88.9,75.0,50.0,80.0,87.5,71.4
"DATAR-SHENDURE ENGLISH MEDIUM PRE-PRIMARY SCHOOL, SATARA",Deccan Education Society,1,1,0,81.8,100.0,,100.0,100.0,0.0,50.0,100.0,100.0
HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY UNIT),Deccan Education Society,2,1,1,77.2,100.0,100.0,100.0,100.0,50.0,50.0,60.0,75.0
MADHAV SADASHIV GOLWALKAR GURUJI MADHYAMIK VIDYALAYA,Deccan Education Society,3,2,1,75.7,100.0,100.0,62.5,100.0,50.0,100.0,100.0,60.0
"NEW ENGLISH SCHOOL,TILAK ROAD",Deccan Education Society,4,3,1,72.7,100.0,100.0,80.0,100.0,100.0,80.0,28.6,54.5
SHRI KANTILAL PURUSHOTTAMDAS SHAH BALAK MANDIR [ENGLISH MEDIUM  PRE-PRIMARY SECTION],Deccan Education Society,1,0,1,72.7,100.0,100.0,50.0,100.0,,33.3,,100.0
D.E.S. SECONDARY SCHOOL,Deccan Education Society,5,3,2,70.9,85.7,100.0,66.7,40.0,66.7,85.7,66.7,62.5
"NEW ENGLISH SCHOOL, SATARA",Deccan Education Society,13,12,1,70.6,100.0,78.6,77.8,88.9,66.7,60.0,50.0,64.3
MADHAV SADASHIV GOLWALKAR GURUJI VIDYALAYA (PRATHAMIK VIBHAG),Deccan Education Society,2,1,1,68.2,100.0,66.7,100.0,50.0,0.0,50.0,75.0,75.0
MADHAV SADASHIV GOLWALKAR GURUJI VIDYALAYA (PURVA-PRATHAMIK VIBHAG),Deccan Education Society,3,2,1,66.6,66.7,100.0,62.5,0.0,100.0,100.0,71.4,0.0
HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UNIT),Deccan Education Society,19,18,1,66.0,92.3,88.2,68.6,58.8,88.9,40.9,51.3,57.1
AHILYADEVI HIGH SCHOOL FOR GIRLS,Deccan Education Society,7,4,3,64.9,75.0,42.9,76.5,80.0,50.0,80.0,61.5,58.3
"DRAVID HIGH SCHOOL,WAI",Deccan Education Society,10,7,3,63.6,88.9,73.3,50.0,66.7,83.3,54.5,66.7,52.2
"NEW ENGLISH SCHOOL, RAMANBAG",Deccan Education Society,5,3,2,63.6,60.0,100.0,100.0,20.0,66.7,100.0,53.3,44.4
D.E.S. PRIMARY SCHOOL,Deccan Education Society,2,2,0,63.6,100.0,100.0,66.7,100.0,25.0,100.0,50.0,33.3
"RAMESH GARWARE SCHOOL (PRIMARY UNIT), WAI",Deccan Education Society,1,0,1,63.6,100.0,100.0,100.0,100.0,0.0,,0.0,0.0
SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHALA  ( MARATHI MADHYAM-MADHYAMIK VIBHAG),Deccan Education Society,1,0,1,63.6,100.0,,50.0,50.0,100.0,,50.0,
HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMARY UNIT),Deccan Education Society,5,4,1,60.0,100.0,80.0,63.6,75.0,66.7,57.1,28.6,45.5
SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHALA [ENGLISH MEDIUM SECONDARY SECTION],Deccan Education Society,5,4,1,58.2,75.0,100.0,66.7,57.1,25.0,33.3,46.2,55.6
"NAVIN MARATHI SHALA,PUNE",Deccan Education Society,3,2,1,57.6,50.0,100.0,87.5,100.0,40.0,0.0,50.0,28.6
NYA.RANADE BALAK MANDIR,Deccan Education Society,3,2,1,57.6,50.0,100.0,77.8,0.0,66.7,50.0,75.0,25.0
NEW ENGLISH MEDIUM SCHOOL SECONDARY SCHOOL,Deccan Education Society,2,0,2,54.5,100.0,100.0,100.0,0.0,75.0,0.0,50.0,40.0
NEW ENGLISH MEDIUM SCHOOL (PRE-PRIMARY UNIT),Deccan Education Society,1,0,1,54.5,100.0,0.0,0.0,0.0,100.0,,100.0,50.0
"NAVIN MARATHI SHALA, SATARA",Deccan Education Society,1,0,1,54.5,,,66.7,,,0.0,100.0,33.3
SHRI KANTILAL PURUSHOTTAMDAS SHAH PRASHALA [ENGLISH MEDIUM PRIMARY SECTION],Deccan Education Society,1,0,1,45.5,0.0,,66.7,50.0,0.0,100.0,0.0,50.0
"DATAR-SHENDURE ENGLISH MEDIUM SECONDARY SCHOOL, SATARA",Deccan Education Society,1,0,1,27.3,0.0,,,100.0,0.0,,0.0,50.0
