BranchCode,BranchName,SchoolName,C1_TeacherScore,C1_LeaderScore,C1_Alignment,C1,C2_DepthEffectiveness,C2,C3_CPI,C3_Respondents,C3,C4_Enablement,C4_Routine,C4,C5,SRI_Total,SRI_Max
M001,AHILYADEVI HIGH SCHOOL FOR GIRLS,Deccan Education Society,0.9894,0.971,0.9943,19.6,0.5462,13.65,0.7628,7,15.26,0.9106,0.85,17.61,0,66.12,85
M002,"BALAK MANDIR,SATARA",Deccan Education Society,0.0,0.0,0.0,0.0,0.6371,15.93,,,,0.9786,0.0,9.79,0,25.72,85
M003,D.E.S. PRIMARY SCHOOL,Deccan Education Society,0.9649,0.8935,0.9699,18.58,0.5158,12.89,0.7926,2,15.85,0.9668,0.9667,19.33,0,66.65,85
M004,D.E.S. SECONDARY SCHOOL,Deccan Education Society,0.9891,0.958,0.9901,19.47,0.567,14.18,0.7728,5,15.46,0.9145,0.95,18.65,0,67.76,85
M005,"DATAR-SHENDURE ENGLISH MEDIUM PRE-PRIMARY SCHOOL, SATARA",Deccan Education Society,0.0,0.0,0.0,0.0,0.567,14.17,0.8295,1,16.59,0.975,0.0,9.75,0,40.51,85
M006,"DATAR-SHENDURE ENGLISH MEDIUM PRIMARY SCHOOL, SATARA",Deccan Education Society,0.0,0.0,0.0,0.0,0.5955,14.89,0.6801,1,13.6,0.975,0.0,9.75,0,38.24,85
M007,"DATAR-SHENDURE ENGLISH MEDIUM SECONDARY SCHOOL, SATARA",Deccan Education Society,0.9334,0.8806,0.9785,18.14,0.536,13.4,0.453,1,9.06,0.8725,0.9667,18.39,0,58.99,85
M009,"DRAVID HIGH SCHOOL,WAI",Deccan Education Society,0.9803,0.9129,0.9816,18.93,0.558,13.95,0.7702,10,15.4,0.92,0.9,18.2,0,66.48,85
M010,"ENGLISH MEDIUM PRE – PRIMARY SCHOOL, SHIRUR",Deccan Education Society,,,,,,,,,,0.7937,0.0,7.94,0,7.94,85
M011,"ENGLISH MEDIUM PRIMARY SCHOOL, SHIRUR",Deccan Education Society,0.9648,0.9531,0.9801,19.18,0.5559,13.9,,,,0.95,0.0,9.5,0,42.58,85
M012,"ENGLISH MEDIUM SECONDARY SCHOOL, SHIRUR",Deccan Education Society,0.0,0.0,0.0,0.0,0.625,15.62,,,,,,,0,15.62,85
M013,HINDUSTAN ANTIBIOTICS SCHOOL (PRE-PRIMARY UNIT),Deccan Education Society,0.0,0.0,0.0,0.0,0.5473,13.68,0.7624,5,15.25,0.9063,0.8667,17.73,0,46.66,85
M014,HINDUSTAN ANTIBIOTICS SCHOOL (PRIMARY UNIT),Deccan Education Society,0.945,0.5522,0.9484,14.97,0.541,13.53,0.771,19,15.42,0.9494,0.0,9.49,0,53.41,85
M015,HINDUSTAN ANTIBIOTICS SCHOOL (SECONDARY UNIT),Deccan Education Society,0.9668,0.8929,0.9697,18.6,0.5675,14.19,0.8211,2,16.42,0.9395,0.9667,19.06,0,68.27,85
M016,MADHAV SADASHIV GOLWALKAR GURUJI MADHYAMIK VIDYALAYA,Deccan Education Society,0.9336,0.859,0.9533,17.93,0.5773,14.43,0.8631,3,17.26,0.8318,1.0,18.32,0,67.94,85
