branchCode,sri_teacher_enablement,sri_leadership_routines,sri_system_readiness,sri_band,sri_respondents,parent_readiness,parent_band,parent_respondents,dominant_fp_teacher,dominant_fp_leader,teacher_count,leader_count,A1_mean,A1_band,A2_mean,A2_band,A3_mean,A3_band,A4_mean,A4_band,B1_mean,B1_band,B2_mean,B2_band,B3_mean,B3_band,B4_mean,B4_band,primary_archetype,confidence
M001,0,0,0,no_data,0,0,no_data,0,FP4,FP3,35,4,3.09,mid,3.12,mid,2.97,mid,3.14,mid,2.67,mid,0.0,low,3.5,high,3.0,mid,,low
M002,0,0,0,no_data,0,0,no_data,0,FP4,FP4,7,1,3.49,high,3.51,high,3.09,mid,3.64,high,0.0,low,0.0,low,0.0,low,0.0,low,,medium
M003,0,0,0,no_data,0,0,no_data,0,FP3,FP3,29,3,3.25,high,3.37,high,3.06,mid,3.28,high,3.3,high,0.0,low,3.67,high,3.33,high,,low
M004,0,0,0,no_data,0,0,no_data,0,FP3,FP1,46,6,3.1,mid,3.23,high,2.96,mid,3.09,mid,3.3,high,0.0,low,4.0,high,3.67,high,,low
M005,0,0,0,no_data,0,0,no_data,0,FP3,FP1,4,0,3.2,mid,3.1,mid,2.9,mid,3.06,mid,0.0,low,0.0,low,0.0,low,0.0,low,,low
M006,0,0,0,no_data,0,0,no_data,0,FP3,FP1,8,0,3.27,high,3.1,mid,3.12,mid,3.09,mid,0.0,low,0.0,low,0.0,low,0.0,low,,low
M007,0,0,0,no_data,0,0,no_data,0,FP3,FP3,3,2,3.12,mid,3.28,high,2.88,mid,3.35,high,4.0,high,0.0,low,4.0,high,3.0,mid,,low
M008,6.0,4.0,10.0,emerging_structure,1,0,no_data,0,,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,none,low
M009,0.0,2.0,2.0,structural_absence,1,0,no_data,0,FP3,FP3,35,5,3.14,mid,3.15,mid,3.02,mid,3.15,mid,3.14,mid,0.0,low,0.0,low,0.0,low,,low
M011,0,0,0,no_data,0,0,no_data,0,FP3,FP3,8,1,3.2,mid,3.1,mid,2.9,mid,3.38,high,0.0,low,0.0,low,0.0,low,0.0,low,,low
M012,8.0,8.0,16.0,operationalised_structure,1,0,no_data,0,FP4,FP1,1,0,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,0.0,low,ARCH-03,high
M013,0,0,0,no_data,0,0,no_data,0,FP4,FP1,5,0,3.22,high,3.28,high,2.72,mid,3.15,mid,3.0,mid,0.0,low,0.0,low,0.0,low,,medium
M014,0,0,0,no_data,0,0,no_data,0,FP4,FP3,20,2,3.04,mid,3.11,mid,3.06,mid,3.06,mid,0.0,low,0.0,low,0.0,low,0.0,low,,low
M015,0,0,0,no_data,0,0,no_data,0,FP3,FP3,38,4,3.23,high,3.31,high,3.13,mid,3.3,high,3.5,high,0.0,low,4.0,high,4.0,high,,low
M016,0,0,0,no_data,0,0,no_data,0,FP4,FP3,9,2,3.2,mid,3.24,high,2.84,mid,3.27,high,3.5,high,0.0,low,0.0,low,0.0,low,,medium
M017,10.0,6.0,16.0,operationalised_structure,2,0,no_data,0,FP3,FP3,20,3,3.22,high,3.45,high,3.1,mid,3.49,high,3.67,high,0.0,low,0.0,low,0.0,low,,medium
M018,0,0,0,no_data,0,0,no_data,0,FP3,FP3,14,2,3.16,mid,3.27,high,2.88,mid,3.25,high,3.5,high,0.0,low,3.5,high,4.0,high,,low
M019,0,0,0,no_data,0,0,no_data,0,FP3,FP1,1,0,3.2,mid,3.2,mid,2.8,mid,3.75,high,0.0,low,0.0,low,0.0,low,0.0,low,,low
M020,0,0,0,no_data,0,0,no_data,0,FP3,FP3,31,4,3.12,mid,3.17,mid,3.04,mid,3.11,mid,3.5,high,0.0,low,3.5,high,3.0,mid,,low
M021,8.0,8.0,16.0,operationalised_structure,2,0,no_data,0,FP3,FP3,11,2,3.43,high,3.48,high,3.34,high,3.37,high,4.0,high,0.0,low,0.0,low,0.0,low,,medium
M022,0,0,0,no_data,0,0,no_data,0,FP3,FP4,20,2,3.17,mid,3.36,high,3.09,mid,3.35,high,3.0,mid,0.0,low,0.0,low,0.0,low,,medium
M023,0,0,0,no_data,0,0,no_data,0,FP3,FP3,4,2,3.23,high,3.4,high,3.11,mid,3.11,mid,4.0,high,0.0,low,3.5,high,4.0,high,,low
M024,0,0,0,no_data,0,0,no_data,0,FP4,FP3,16,5,3.27,high,3.28,high,3.08,mid,3.29,high,3.75,high,0.0,low,4.0,high,4.0,high,,low
M025,2.0,6.0,8.0,emerging_structure,1,0,no_data,0,FP3,FP3,2,3,3.28,high,3.48,high,3.2,mid,3.55,high,3.0,mid,0.0,low,4.0,high,3.0,mid,,low
M026,10.0,10.0,20.0,operationalised_structure,1,0,no_data,0,FP3,FP3,44,5,2.89,mid,3.11,mid,2.9,mid,3.14,mid,2.67,mid,0.0,low,0.0,low,0.0,low,,low
M027,4.0,6.0,10.0,emerging_structure,1,0,no_data,0,FP4,FP3,59,6,3.07,mid,3.16,mid,2.96,mid,3.06,mid,3.0,mid,0.0,low,4.0,high,4.0,high,,low
M028,0,0,0,no_data,0,0,no_data,0,FP3,FP3,27,6,3.2,mid,3.38,high,3.14,mid,3.3,high,3.25,high,0.0,low,3.25,high,3.5,high,,low
M029,0,0,0,no_data,0,0,no_data,0,FP3,FP1,12,1,3.0,mid,3.14,mid,2.49,low,3.08,mid,4.0,high,0.0,low,0.0,low,0.0,low,,medium
M030,0,0,0,no_data,0,0,no_data,0,FP4,FP1,4,0,3.2,mid,3.0,mid,3.0,mid,3.0,mid,0.0,low,0.0,low,0.0,low,0.0,low,,low
M031,0,0,0,no_data,0,0,no_data,0,FP3,FP3,7,2,3.29,high,3.38,high,3.07,mid,3.25,high,3.5,high,0.0,low,0.0,low,0.0,low,,medium
M032,0,0,0,no_data,0,0,no_data,0,FP3,FP1,3,0,3.13,mid,3.53,high,3.27,high,3.42,high,0.0,low,0.0,low,0.0,low,0.0,low,,medium
M033,0,0,0,no_data,0,0,no_data,0,FP4,FP3,1,2,3.2,mid,3.15,mid,2.95,mid,3.19,mid,2.25,low,0.0,low,2.0,low,2.0,low,,low
M034,0,0,0,no_data,0,0,no_data,0,FP3,FP3,2,2,2.6,mid,3.3,high,2.6,mid,3.38,high,2.33,low,0.0,low,3.0,mid,2.0,low,,low
M035,0,0,0,no_data,0,0,no_data,0,FP3,FP1,7,2,3.11,mid,3.14,mid,2.94,mid,3.0,mid,3.0,mid,0.0,low,3.0,mid,3.0,mid,,low
M036,10.0,2.0,12.0,partially_institutionalised,1,0,no_data,0,FP3,FP3,21,9,3.06,mid,3.05,mid,2.89,mid,3.2,mid,3.09,mid,0.0,low,3.0,mid,3.33,high,,low
M037,0,0,0,no_data,0,0,no_data,0,FP3,FP3,3,2,3.47,high,3.33,high,2.93,mid,3.25,high,0.0,low,0.0,low,0.0,low,0.0,low,,medium
M038,0,0,0,no_data,0,0,no_data,0,FP3,FP3,7,1,3.1,mid,3.25,high,3.05,mid,3.38,high,3.0,mid,0.0,low,0.0,low,0.0,low,,medium
